epoch,train/box_loss,train/cls_loss,train/dfl_loss,train/spatial_loss,val/box_loss,val/cls_loss,val/dfl_loss,val/spatial_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),lr/pg0
16,0.41755,0.23924999,1.16455,0.0,0.47824997,0.24649999,1.16975,0.0,0.9996490438639328,0.9970760233918128,0.995,0.9737001407787689,0.0003
17,0.40039998,0.22589998,1.1607499,0.0,0.49249998,0.245,1.1719999,0.0,0.999577855615615,0.9970760233918128,0.995,0.9661137898412864,0.0003
18,0.4062,0.23015001,1.16175,0.0,0.46675003,0.2525,1.16975,0.0,0.999595465688625,0.9970760233918128,0.995,0.9706005413095061,0.0003
19,0.38394997,0.22355,1.1579499,0.0,0.50625,0.24425,1.174,0.0,0.9996725676064323,0.9970760233918128,0.995,0.9707678822641463,0.0003
20,0.3928,0.21975,1.1597499,0.0,0.46225,0.23275,1.1695,0.0,0.999674991725369,0.9970760233918128,0.995,0.9762694632556057,0.0003
21,0.3813,0.21349998,1.15815,0.0,0.474,0.22625,1.16975,0.0,0.9995514719261932,0.9970760233918128,0.995,0.9711647056326875,0.0003
22,0.39435,0.21,1.1611501,0.0,0.48225,0.22675,1.16975,0.0,0.9996547177279796,0.9970760233918128,0.995,0.9758398316395199,0.0003
23,0.3638,0.2024,1.1568499,0.0,0.47775,0.2285,1.16975,0.0,0.9995546128777203,0.9970760233918128,0.995,0.9749998801329405,0.0003
24,0.35935003,0.19890001,1.15765,0.0,0.45525,0.20675,1.16825,0.0,0.9995985971269237,0.9970760233918128,0.995,0.972302953665219,0.0003
25,0.3632,0.19595,1.1580498,0.0,0.471,0.2135,1.1682501,0.0,0.9996314768522985,0.9970760233918128,0.995,0.9748843122177242,0.0003
26,0.3519,0.1893,1.15545,0.0,0.475,0.212,1.16925,0.0,0.9996384451745995,0.9970760233918128,0.995,0.9726943105568587,0.0003
27,0.34529996,0.1891,1.15585,0.0,0.47399998,0.21149999,1.16975,0.0,0.9996136834879799,0.9970760233918128,0.995,0.9722160625850835,0.0003
28,0.3463,0.18669999,1.15575,0.0,0.4605,0.199,1.1682501,0.0,0.9995962460115133,0.9970760233918128,0.995,0.9747883192047195,0.0003
29,0.33759996,0.17819999,1.15395,0.0,0.46025002,0.20675,1.16825,0.0,0.9995067939964776,0.9970760233918128,0.995,0.9732117779226288,0.0003
30,0.33705,0.17849998,1.15465,0.0,0.46449995,0.1995,1.168,0.0,0.9996390847410506,0.9970760233918128,0.995,0.97326011018076,0.0003
31,0.34104997,0.1751,1.15505,0.0,0.4755,0.19924998,1.1685,0.0,0.9996690734803049,0.9970760233918128,0.995,0.9744380499047818,0.0003
32,0.33320004,0.17554998,1.15455,0.0,0.45424998,0.1855,1.1675,0.0,0.9994231111755918,0.9970760233918128,0.995,0.9759152821417827,0.0003
33,0.32,0.17165,1.1528499,0.0,0.47075,0.19125,1.16725,0.0,0.9995810961219838,0.9970760233918128,0.995,0.9746634594256349,0.0003
34,0.32185,0.17085001,1.1534501,0.0,0.46025002,0.19299999,1.1675,0.0,0.9996014610363793,0.9970760233918128,0.995,0.9771244024829601,0.0003
35,0.31305003,0.16910002,1.1523999,0.0,0.458,0.18875,1.16775,0.0,0.9996802479414381,0.9970760233918128,0.995,0.9784359105172937,0.0003
36,0.3235,0.1692,1.1535499,0.0,0.466,0.1835,1.16825,0.0,0.9996360502971204,0.9970760233918128,0.995,0.9762899677869912,0.0003
37,0.31809998,0.1649,1.1526501,0.0,0.473,0.19274999,1.169,0.0,0.9996028254790694,0.9970760233918128,0.995,0.9770393369695093,0.0003
38,0.30955,0.16215001,1.15175,0.0,0.4515,0.17925,1.1665,0.0,0.9996441473945974,0.9970760233918128,0.995,0.9757222012428561,0.0003
